calendar_date,day_of_week,holiday,quantity
2016/1/1,5,NewYearsDay,282
2016/1/2,6,NewYearsDay,344
2016/1/3,7,NewYearsDay,378
2016/1/4,1,,253
2016/1/5,2,,279
2016/1/6,3,,264
2016/1/7,4,,266
2016/1/8,5,,277
2016/1/9,6,,349
2016/1/10,7,,327
2016/1/11,1,,295
2016/1/12,2,,306
2016/1/13,3,,318
2016/1/14,4,,333
2016/1/15,5,,341
2016/1/16,6,,377
2016/1/17,7,,373
2016/1/18,1,,348
2016/1/19,2,,319
2016/1/20,3,,361
2016/1/21,4,,369
2016/1/22,5,,358
2016/1/23,6,,384
2016/1/24,7,,387
2016/1/25,1,,337
2016/1/26,2,,353
2016/1/27,3,,357
2016/1/28,4,,368
2016/1/29,5,,383
2016/1/30,6,,385
2016/1/31,7,,415
2016/2/1,1,,391
2016/2/2,2,,345
2016/2/3,3,,362
2016/2/4,4,,389
2016/2/5,5,,371
2016/2/6,6,,425
2016/2/7,7,CNYEVE,519
2016/2/8,1,CNY,468
2016/2/9,2,CNY,425
2016/2/10,3,CNY,455
2016/2/11,4,CNY,472
2016/2/12,5,CNY,492
2016/2/13,6,CNY,514
2016/2/14,7,,390
2016/2/15,1,,379
2016/2/16,2,,364
2016/2/17,3,,404
2016/2/18,4,,406
2016/2/19,5,,402
2016/2/20,6,,431
2016/2/21,7,,415
2016/2/22,1,,368
2016/2/23,2,,409
2016/2/24,3,,403
2016/2/25,4,,364
2016/2/26,5,,378
2016/2/27,6,,406
2016/2/28,7,,425
2016/2/29,1,,384
2016/3/1,2,,427
2016/3/2,3,,381
2016/3/3,4,,403
2016/3/4,5,,412
2016/3/5,6,,425
2016/3/6,7,,434
2016/3/7,1,,369
2016/3/8,2,,372
2016/3/9,3,,372
2016/3/10,4,,399
2016/3/11,5,,398
2016/3/12,6,,437
2016/3/13,7,,414
2016/3/14,1,,412
2016/3/15,2,,389
2016/3/16,3,,377
2016/3/17,4,,397
2016/3/18,5,,384
2016/3/19,6,,439
2016/3/20,7,,416
2016/3/21,1,,384
2016/3/22,2,,406
2016/3/23,3,,414
2016/3/24,4,,398
2016/3/25,5,,412
2016/3/26,6,,404
2016/3/27,7,,429
2016/3/28,1,,370
2016/3/29,2,,366
2016/3/30,3,,386
2016/3/31,4,,379
2016/4/1,5,,395
2016/4/2,6,QingMing,488
2016/4/3,7,QingMing,483
2016/4/4,1,QingMing,413
2016/4/5,2,,408
2016/4/6,3,,396
2016/4/7,4,,391
2016/4/8,5,,362
2016/4/9,6,,415
2016/4/10,7,,407
2016/4/11,1,,385
2016/4/12,2,,404
2016/4/13,3,,364
2016/4/14,4,,376
2016/4/15,5,,404
2016/4/16,6,,412
2016/4/17,7,,439
2016/4/18,1,,376
2016/4/19,2,,392
2016/4/20,3,,385
2016/4/21,4,,384
2016/4/22,5,,362
2016/4/23,6,,426
2016/4/24,7,,439
2016/4/25,1,,378
2016/4/26,2,,367
2016/4/27,3,,403
2016/4/28,4,,370
2016/4/29,5,,375
2016/4/30,6,LaborsDay,484
2016/5/1,7,LaborsDay,499
2016/5/2,1,LaborsDay,422
2016/5/3,2,,386
2016/5/4,3,,370
2016/5/5,4,,373
2016/5/6,5,,358
2016/5/7,6,,408
2016/5/8,7,,429
2016/5/9,1,,381
2016/5/10,2,,384
2016/5/11,3,,367
2016/5/12,4,,356
2016/5/13,5,,363
2016/5/14,6,,418
2016/5/15,7,,408
2016/5/16,1,,379
2016/5/17,2,,383
2016/5/18,3,,353
2016/5/19,4,,368
2016/5/20,5,,344
2016/5/21,6,,425
2016/5/22,7,,392
2016/5/23,1,,365
2016/5/24,2,,359
2016/5/25,3,,383
2016/5/26,4,,380
2016/5/27,5,,386
2016/5/28,6,,412
2016/5/29,7,,393
2016/5/30,1,,343
2016/5/31,2,,388
2016/6/1,3,Children's Day,415
2016/6/2,4,,359
2016/6/3,5,,359
2016/6/4,6,,410
2016/6/5,7,,369
2016/6/6,1,,354
2016/6/7,2,,360
2016/6/8,3,,383
2016/6/9,4,DragonBoatFestival,377
2016/6/10,5,DragonBoatFestival,383
2016/6/11,6,DragonBoatFestival,383
2016/6/12,7,,382
2016/6/13,1,,338
2016/6/14,2,,343
2016/6/15,3,,337
2016/6/16,4,,358
2016/6/17,5,,356
2016/6/18,6,,407
2016/6/19,7,,373
2016/6/20,1,,368
2016/6/21,2,,344
2016/6/22,3,,333
2016/6/23,4,,380
2016/6/24,5,,351
2016/6/25,6,,409
2016/6/26,7,,398
2016/6/27,1,,381
2016/6/28,2,,358
2016/6/29,3,,357
2016/6/30,4,,369
2016/7/1,5,,375
2016/7/2,6,,377
2016/7/3,7,,412
2016/7/4,1,,331
2016/7/5,2,,360
2016/7/6,3,,363
2016/7/7,4,,344
2016/7/8,5,,381
2016/7/9,6,,415
2016/7/10,7,,382
2016/7/11,1,,379
2016/7/12,2,,332
2016/7/13,3,,333
2016/7/14,4,,342
2016/7/15,5,,354
2016/7/16,6,,387
2016/7/17,7,,422
2016/7/18,1,,361
2016/7/19,2,,354
2016/7/20,3,,379
2016/7/21,4,,353
2016/7/22,5,,366
2016/7/23,6,,394
2016/7/24,7,,376
2016/7/25,1,,345
2016/7/26,2,,358
2016/7/27,3,,376
2016/7/28,4,,340
2016/7/29,5,,338
2016/7/30,6,,404
2016/7/31,7,,424
2016/8/1,1,,373
2016/8/2,2,,356
2016/8/3,3,,340
2016/8/4,4,,366
2016/8/5,5,,363
2016/8/6,6,,388
2016/8/7,7,,392
2016/8/8,1,,380
2016/8/9,2,,359
2016/8/10,3,,386
2016/8/11,4,,381
2016/8/12,5,,340
2016/8/13,6,,419
2016/8/14,7,,391
2016/8/15,1,,382
2016/8/16,2,,357
2016/8/17,3,,344
2016/8/18,4,,355
2016/8/19,5,,384
2016/8/20,6,,387
2016/8/21,7,,406
2016/8/22,1,,379
2016/8/23,2,,377
2016/8/24,3,,370
2016/8/25,4,,369
2016/8/26,5,,360
2016/8/27,6,,437
2016/8/28,7,,431
2016/8/29,1,,357
2016/8/30,2,,398
2016/8/31,3,,395
2016/9/1,4,,381
2016/9/2,5,,385
2016/9/3,6,,394
2016/9/4,7,,433
2016/9/5,1,,385
2016/9/6,2,,381
2016/9/7,3,,363
2016/9/8,4,,372
2016/9/9,5,,398
2016/9/10,6,,415
2016/9/11,7,,415
2016/9/12,1,,395
2016/9/13,2,,377
2016/9/14,3,,400
2016/9/15,4,MoonFestival,388
2016/9/16,5,MoonFestival,386
2016/9/17,6,MoonFestival,444
2016/9/18,7,,419
2016/9/19,1,,397
2016/9/20,2,,392
2016/9/21,3,,410
2016/9/22,4,,373
2016/9/23,5,,373
2016/9/24,6,,432
2016/9/25,7,,422
2016/9/26,1,,387
2016/9/27,2,,389
2016/9/28,3,,409
2016/9/29,4,,377
2016/9/30,5,,424
2016/10/1,6,NationalDay,579
2016/10/2,7,NationalDay,511
2016/10/3,1,NationalDay,478
2016/10/4,2,NationalDay,521
2016/10/5,3,NationalDay,488
2016/10/6,4,NationalDay,500
2016/10/7,5,NationalDay,490
2016/10/8,6,,415
2016/10/9,7,,450
2016/10/10,1,,416
2016/10/11,2,,412
2016/10/12,3,,427
2016/10/13,4,,394
2016/10/14,5,,417
2016/10/15,6,,450
2016/10/16,7,,474
2016/10/17,1,,414
2016/10/18,2,,421
2016/10/19,3,,415
2016/10/20,4,,419
2016/10/21,5,,431
2016/10/22,6,,467
2016/10/23,7,,445
2016/10/24,1,,420
2016/10/25,2,,406
2016/10/26,3,,437
2016/10/27,4,,413
2016/10/28,5,,440
2016/10/29,6,,499
2016/10/30,7,,484
2016/10/31,1,,444
2016/11/1,2,,473
2016/11/2,3,,440
2016/11/3,4,,422
2016/11/4,5,,440
2016/11/5,6,,471
2016/11/6,7,,461
2016/11/7,1,,417
2016/11/8,2,,428
2016/11/9,3,,422
2016/11/10,4,,432
2016/11/11,5,,456
2016/11/12,6,,487
2016/11/13,7,,489
2016/11/14,1,,462
2016/11/15,2,,450
2016/11/16,3,,472
2016/11/17,4,,440
2016/11/18,5,,468
2016/11/19,6,,496
2016/11/20,7,,478
2016/11/21,1,,472
2016/11/22,2,,478
2016/11/23,3,,461
2016/11/24,4,,474
2016/11/25,5,,473
2016/11/26,6,,486
2016/11/27,7,,521
2016/11/28,1,,463
2016/11/29,2,,469
2016/11/30,3,,450
2016/12/1,4,,490
2016/12/2,5,,445
2016/12/3,6,,506
2016/12/4,7,,524
2016/12/5,1,,464
2016/12/6,2,,459
2016/12/7,3,,452
2016/12/8,4,,468
2016/12/9,5,,474
2016/12/10,6,,504
2016/12/11,7,,511
2016/12/12,1,,467
2016/12/13,2,,491
2016/12/14,3,,454
2016/12/15,4,,491
2016/12/16,5,,474
2016/12/17,6,,511
2016/12/18,7,,499
2016/12/19,1,,474
2016/12/20,2,,479
2016/12/21,3,,477
2016/12/22,4,,493
2016/12/23,5,,500
2016/12/24,6,,512
2016/12/25,7,,531
2016/12/26,1,,462
2016/12/27,2,,460
2016/12/28,3,,485
2016/12/29,4,,466
2016/12/30,5,,493
2016/12/31,6,NewYearsDay,609
2017/1/1,7,NewYearsDay,622
2017/1/2,1,NewYearsDay,584
2017/1/3,2,,473
2017/1/4,3,,471
2017/1/5,4,,466
2017/1/6,5,,499
2017/1/7,6,,513
2017/1/8,7,,506
2017/1/9,1,,492
2017/1/10,2,,493
2017/1/11,3,,481
2017/1/12,4,,501
2017/1/13,5,,511
2017/1/14,6,,525
2017/1/15,7,,522
2017/1/16,1,,486
2017/1/17,2,,496
2017/1/18,3,,477
2017/1/19,4,,474
2017/1/20,5,,475
2017/1/21,6,,533
2017/1/22,7,,518
2017/1/23,1,,502
2017/1/24,2,,502
2017/1/25,3,,498
2017/1/26,4,,483
2017/1/27,5,CNYEVE,614
2017/1/28,6,CNY,654
2017/1/29,7,CNY,608
2017/1/30,1,CNY,568
2017/1/31,2,CNY,577
2017/2/1,3,CNY,624
2017/2/2,4,CNY,569
2017/2/3,5,,480
2017/2/4,6,,522
2017/2/5,7,,558
2017/2/6,1,,466
2017/2/7,2,,485
2017/2/8,3,,472
2017/2/9,4,,502
2017/2/10,5,,470
2017/2/11,6,,513
2017/2/12,7,,504
2017/2/13,1,,474
2017/2/14,2,,469
2017/2/15,3,,479
2017/2/16,4,,512
2017/2/17,5,,492
2017/2/18,6,,532
2017/2/19,7,,538
2017/2/20,1,,500
2017/2/21,2,,488
2017/2/22,3,,469
2017/2/23,4,,494
2017/2/24,5,,462
2017/2/25,6,,530
2017/2/26,7,,519
2017/2/27,1,,471
2017/2/28,2,,475
2017/3/1,3,,533
2017/3/2,4,,459
2017/3/3,5,,492
2017/3/4,6,,550
2017/3/5,7,,554
2017/3/6,1,,482
2017/3/7,2,,463
2017/3/8,3,,495
2017/3/9,4,,466
2017/3/10,5,,502
2017/3/11,6,,503
2017/3/12,7,,509
2017/3/13,1,,500
2017/3/14,2,,478
2017/3/15,3,,462
2017/3/16,4,,495
2017/3/17,5,,453
2017/3/18,6,,509
2017/3/19,7,,501
2017/3/20,1,,489
2017/3/21,2,,487
2017/3/22,3,,457
2017/3/23,4,,470
2017/3/24,5,,460
2017/3/25,6,,500
2017/3/26,7,,502
2017/3/27,1,,456
2017/3/28,2,,488
2017/3/29,3,,464
2017/3/30,4,,473
2017/3/31,5,,473
2017/4/1,6,,516
2017/4/2,7,QingMing,536
2017/4/3,1,QingMing,501
2017/4/4,2,QingMing,537
2017/4/5,3,,449
2017/4/6,4,,454
2017/4/7,5,,473
2017/4/8,6,,504
2017/4/9,7,,514
2017/4/10,1,,483
2017/4/11,2,,445
2017/4/12,3,,438
2017/4/13,4,,436
2017/4/14,5,,448
2017/4/15,6,,502
2017/4/16,7,,500
2017/4/17,1,,467
2017/4/18,2,,451
2017/4/19,3,,459
2017/4/20,4,,465
2017/4/21,5,,470
2017/4/22,6,,490
2017/4/23,7,,492
2017/4/24,1,,446
2017/4/25,2,,425
2017/4/26,3,,428
2017/4/27,4,,459
2017/4/28,5,,446
2017/4/29,6,LaborsDay,521
2017/4/30,7,LaborsDay,531
2017/5/1,1,LaborsDay,529
2017/5/2,2,,451
2017/5/3,3,,430
2017/5/4,4,,433
2017/5/5,5,,442
2017/5/6,6,,484
2017/5/7,7,,490
2017/5/8,1,,436
2017/5/9,2,,424
2017/5/10,3,,443
2017/5/11,4,,456
2017/5/12,5,,441
2017/5/13,6,,504
2017/5/14,7,,495
2017/5/15,1,,419
2017/5/16,2,,426
2017/5/17,3,,411
2017/5/18,4,,430
2017/5/19,5,,432
2017/5/20,6,,465
2017/5/21,7,,470
2017/5/22,1,,438
2017/5/23,2,,407
2017/5/24,3,,423
2017/5/25,4,,420
2017/5/26,5,,436
2017/5/27,6,,469
2017/5/28,7,DragonBoatFestival,436
2017/5/29,1,DragonBoatFestival,444
2017/5/30,2,DragonBoatFestival,427
2017/5/31,3,,423
2017/6/1,4,Children's Day,459
2017/6/2,5,,411
2017/6/3,6,,494
2017/6/4,7,,470
2017/6/5,1,,403
2017/6/6,2,,419
2017/6/7,3,,411
2017/6/8,4,,434
2017/6/9,5,,442
2017/6/10,6,,446
2017/6/11,7,,457
2017/6/12,1,,415
2017/6/13,2,,423
2017/6/14,3,,411
2017/6/15,4,,422
2017/6/16,5,,429
2017/6/17,6,,485
2017/6/18,7,,458
2017/6/19,1,,409
2017/6/20,2,,390
2017/6/21,3,,411
2017/6/22,4,,401
2017/6/23,5,,417
2017/6/24,6,,453
2017/6/25,7,,471
2017/6/26,1,,416
2017/6/27,2,,414
2017/6/28,3,,426
2017/6/29,4,,425
2017/6/30,5,,412
2017/7/1,6,,490
2017/7/2,7,,466
2017/7/3,1,,405
2017/7/4,2,,404
2017/7/5,3,,432
2017/7/6,4,,431
2017/7/7,5,,393
2017/7/8,6,,449
2017/7/9,7,,451
2017/7/10,1,,385
2017/7/11,2,,419
2017/7/12,3,,414
2017/7/13,4,,398
2017/7/14,5,,400
2017/7/15,6,,452
2017/7/16,7,,468
2017/7/17,1,,384
2017/7/18,2,,420
2017/7/19,3,,421
2017/7/20,4,,417
2017/7/21,5,,389
2017/7/22,6,,466
2017/7/23,7,,447
2017/7/24,1,,393
2017/7/25,2,,413
2017/7/26,3,,384
2017/7/27,4,,391
2017/7/28,5,,406
2017/7/29,6,,431
2017/7/30,7,,419
2017/7/31,1,,397
2017/8/1,2,,427
2017/8/2,3,,411
2017/8/3,4,,402
2017/8/4,5,,395
2017/8/5,6,,437
2017/8/6,7,,471
2017/8/7,1,,396
2017/8/8,2,,428
2017/8/9,3,,433
2017/8/10,4,,433
2017/8/11,5,,396
2017/8/12,6,,434
2017/8/13,7,,457
2017/8/14,1,,426
2017/8/15,2,,403
2017/8/16,3,,421
2017/8/17,4,,395
2017/8/18,5,,433
2017/8/19,6,,434
2017/8/20,7,,431
2017/8/21,1,,431
2017/8/22,2,,437
2017/8/23,3,,428
2017/8/24,4,,418
2017/8/25,5,,398
2017/8/26,6,,443
2017/8/27,7,,436
2017/8/28,1,,419
2017/8/29,2,,432
2017/8/30,3,,408
2017/8/31,4,,432
2017/9/1,5,,432
2017/9/2,6,,478
2017/9/3,7,,470
2017/9/4,1,,400
2017/9/5,2,,446
2017/9/6,3,,442
2017/9/7,4,,445
2017/9/8,5,,431
2017/9/9,6,,473
2017/9/10,7,,467
2017/9/11,1,,422
2017/9/12,2,,410
2017/9/13,3,,449
2017/9/14,4,,422
2017/9/15,5,,407
2017/9/16,6,,487
2017/9/17,7,,461
2017/9/18,1,,417
2017/9/19,2,,425
2017/9/20,3,,439
2017/9/21,4,,434
2017/9/22,5,,417
2017/9/23,6,,507
2017/9/24,7,,470
2017/9/25,1,,428
2017/9/26,2,,455
2017/9/27,3,,443
2017/9/28,4,,454
2017/9/29,5,,446
2017/9/30,6,,496
2017/10/1,7,NationalDay,592
2017/10/2,1,NationalDay,542
2017/10/3,2,NationalDay,510
2017/10/4,3,NationalDay,544
2017/10/5,4,NationalDay,534
2017/10/6,5,NationalDay,514
2017/10/7,6,NationalDay,557
2017/10/8,7,NationalDay,580
2017/10/9,1,,471
2017/10/10,2,,465
2017/10/11,3,,455
2017/10/12,4,,432
2017/10/13,5,,442
2017/10/14,6,,480
2017/10/15,7,,512
2017/10/16,1,,483
2017/10/17,2,,468
2017/10/18,3,,459
2017/10/19,4,,482
2017/10/20,5,,461
2017/10/21,6,,498
2017/10/22,7,,522
2017/10/23,1,,454
2017/10/24,2,,487
2017/10/25,3,,442
2017/10/26,4,,459
2017/10/27,5,,450
2017/10/28,6,,492
2017/10/29,7,,523
2017/10/30,1,,493
2017/10/31,2,,492
2017/11/1,3,,497
2017/11/2,4,,454
2017/11/3,5,,495
2017/11/4,6,,525
2017/11/5,7,,530
2017/11/6,1,,462
2017/11/7,2,,483
2017/11/8,3,,504
2017/11/9,4,,492
2017/11/10,5,,458
2017/11/11,6,,506
2017/11/12,7,,505
2017/11/13,1,,506
2017/11/14,2,,507
2017/11/15,3,,482
2017/11/16,4,,462
2017/11/17,5,,501
2017/11/18,6,,545
2017/11/19,7,,540
2017/11/20,1,,481
2017/11/21,2,,491
2017/11/22,3,,500
2017/11/23,4,,508
2017/11/24,5,,492
2017/11/25,6,,513
2017/11/26,7,,558
2017/11/27,1,,511
2017/11/28,2,,483
2017/11/29,3,,488
2017/11/30,4,,518
2017/12/1,5,,524
2017/12/2,6,,567
2017/12/3,7,,519
2017/12/4,1,,515
2017/12/5,2,,483
2017/12/6,3,,482
2017/12/7,4,,481
2017/12/8,5,,491
2017/12/9,6,,548
2017/12/10,7,,568
2017/12/11,1,,522
2017/12/12,2,,525
2017/12/13,3,,493
2017/12/14,4,,483
2017/12/15,5,,515
2017/12/16,6,,520
2017/12/17,7,,540
2017/12/18,1,,486
2017/12/19,2,,492
2017/12/20,3,,536
2017/12/21,4,,509
2017/12/22,5,,492
2017/12/23,6,,540
2017/12/24,7,,568
2017/12/25,1,,519
2017/12/26,2,,534
2017/12/27,3,,512
2017/12/28,4,,520
2017/12/29,5,,517
2017/12/30,6,NewYearsDay,641
2017/12/31,7,NewYearsDay,658
2018/1/1,1,NewYearsDay,602
2018/1/2,2,,537
2018/1/3,3,,529
2018/1/4,4,,540
2018/1/5,5,,521
2018/1/6,6,,555
2018/1/7,7,,546
2018/1/8,1,,501
2018/1/9,2,,500
2018/1/10,3,,495
2018/1/11,4,,521
2018/1/12,5,,536
2018/1/13,6,,585
2018/1/14,7,,567
2018/1/15,1,,532
2018/1/16,2,,511
2018/1/17,3,,503
2018/1/18,4,,503
2018/1/19,5,,532
2018/1/20,6,,575
2018/1/21,7,,552
2018/1/22,1,,524
2018/1/23,2,,540
2018/1/24,3,,505
2018/1/25,4,,516
2018/1/26,5,,529
2018/1/27,6,,576
2018/1/28,7,,579
2018/1/29,1,,500
2018/1/30,2,,502
2018/1/31,3,,544
2018/2/1,4,,552
2018/2/2,5,,509
2018/2/3,6,,574
2018/2/4,7,,561
2018/2/5,1,,542
2018/2/6,2,,539
2018/2/7,3,,529
2018/2/8,4,,530
2018/2/9,5,,520
2018/2/10,6,,582
2018/2/11,7,,541
2018/2/12,1,,512
2018/2/13,2,,523
2018/2/14,3,,519
2018/2/15,4,CNYEVE,670
2018/2/16,5,CNY,621
2018/2/17,6,CNY,643
2018/2/18,7,CNY,648
2018/2/19,1,CNY,614
2018/2/20,2,CNY,621
2018/2/21,3,CNY,640
2018/2/22,4,,509
2018/2/23,5,,525
2018/2/24,6,,546
2018/2/25,7,,565
2018/2/26,1,,533
2018/2/27,2,,500
2018/2/28,3,,507
2018/3/1,4,,521
2018/3/2,5,,536
2018/3/3,6,,544
2018/3/4,7,,564
2018/3/5,1,,537
2018/3/6,2,,497
2018/3/7,3,,536
2018/3/8,4,,507
2018/3/9,5,,507
2018/3/10,6,,549
2018/3/11,7,,540
2018/3/12,1,,511
2018/3/13,2,,502
2018/3/14,3,,525
2018/3/15,4,,502
2018/3/16,5,,513
2018/3/17,6,,573
2018/3/18,7,,571
2018/3/19,1,,479
2018/3/20,2,,498
2018/3/21,3,,484
2018/3/22,4,,502
2018/3/23,5,,499
2018/3/24,6,,552
2018/3/25,7,,560
2018/3/26,1,,490
2018/3/27,2,,492
2018/3/28,3,,521
2018/3/29,4,,494
2018/3/30,5,,509
2018/3/31,6,,523
2018/4/1,7,,558
2018/4/2,1,,499
2018/4/3,2,,486
2018/4/4,3,,509
2018/4/5,4,QingMing,531
2018/4/6,5,QingMing,539
2018/4/7,6,QingMing,574
2018/4/8,7,,552
2018/4/9,1,,510
2018/4/10,2,,471
2018/4/11,3,,476
2018/4/12,4,,496
2018/4/13,5,,491
2018/4/14,6,,550
2018/4/15,7,,546
2018/4/16,1,,459
2018/4/17,2,,491
2018/4/18,3,,464
2018/4/19,4,,461
2018/4/20,5,,494
2018/4/21,6,,546
2018/4/22,7,,504
2018/4/23,1,,466
2018/4/24,2,,473
2018/4/25,3,,493
2018/4/26,4,,488
2018/4/27,5,,461
2018/4/28,6,,516
2018/4/29,7,LaborsDay,573
2018/4/30,1,LaborsDay,508
2018/5/1,2,LaborsDay,565
2018/5/2,3,,453
2018/5/3,4,,483
2018/5/4,5,,452
2018/5/5,6,,492
2018/5/6,7,,489
2018/5/7,1,,468
2018/5/8,2,,465
2018/5/9,3,,487
2018/5/10,4,,470
2018/5/11,5,,476
2018/5/12,6,,486
2018/5/13,7,,523
2018/5/14,1,,477
2018/5/15,2,,444
2018/5/16,3,,478
2018/5/17,4,,465
2018/5/18,5,,467
2018/5/19,6,,467
2018/5/20,7,,514
2018/5/21,1,,457
2018/5/22,2,,450
2018/5/23,3,,467
2018/5/24,4,,467
2018/5/25,5,,447
2018/5/26,6,,514
2018/5/27,7,,505
2018/5/28,1,,426
2018/5/29,2,,447
2018/5/30,3,,426
2018/5/31,4,,426
2018/6/1,5,Children's Day,454
2018/6/2,6,,485
2018/6/3,7,,484
2018/6/4,1,,443
2018/6/5,2,,437
2018/6/6,3,,425
2018/6/7,4,,449
2018/6/8,5,,423
2018/6/9,6,,470
2018/6/10,7,,490
2018/6/11,1,,431
2018/6/12,2,,457
2018/6/13,3,,454
2018/6/14,4,,446
2018/6/15,5,,450
2018/6/16,6,DragonBoatFestival,486
2018/6/17,7,DragonBoatFestival,498
2018/6/18,1,DragonBoatFestival,456
2018/6/19,2,,414
2018/6/20,3,,415
2018/6/21,4,,430
2018/6/22,5,,462
2018/6/23,6,,463
2018/6/24,7,,460
2018/6/25,1,,423
2018/6/26,2,,423
2018/6/27,3,,414
2018/6/28,4,,441
2018/6/29,5,,441
2018/6/30,6,,485
2018/7/1,7,,518
2018/7/2,1,,422
2018/7/3,2,,443
2018/7/4,3,,457
2018/7/5,4,,449
2018/7/6,5,,419
2018/7/7,6,,479
2018/7/8,7,,467
2018/7/9,1,,434
2018/7/10,2,,452
2018/7/11,3,,416
2018/7/12,4,,449
2018/7/13,5,,423
2018/7/14,6,,453
2018/7/15,7,,473
2018/7/16,1,,429
2018/7/17,2,,437
2018/7/18,3,,420
2018/7/19,4,,440
2018/7/20,5,,455
2018/7/21,6,,492
2018/7/22,7,,489
2018/7/23,1,,436
2018/7/24,2,,452
2018/7/25,3,,429
2018/7/26,4,,429
2018/7/27,5,,419
2018/7/28,6,,487
